city,admin_name,name,ID,address
Torino,Piemonte,Caffè Crocetta,2319480243,Corso Luigi Einaudi 25
Torino,Piemonte,Caffè della Caduta,3352071960,Via Eusebio Bava 39
Torino,Piemonte,Caffe delle Scienze,3051586234,Via Accademia delle Scienze 178
Torino,Piemonte,Caffè del Parco,2629166151,Via San Rocco 24/C
Torino,Piemonte,Caffè del Progresso,295340320,Corso San Maurizio 69
Torino,Piemonte,Caffé Divizia,2018203633,Via Venti Settembre 63
Torino,Piemonte,Caffè Fiorio,3363437031,Via Po 8c
Torino,Piemonte,Caffè Lagrange,2020779100,Piazza Giuseppe Luigi Lagrange 97
Torino,Piemonte,Caffelatte,3343919420,Leno 51
Torino,Piemonte,Caffè Liberty,3279523269,Corso Unione Sovietica 612 3/C
Torino,Piemonte,Caffè Lungodora,2097748465,Lungo Dora Napoli 103
Torino,Piemonte,Caffè Motovelodromo,1603581907,Corso Casale 32
Torino,Piemonte,Caffé Oporto,3844267029,Corso Giacomo Matteotti 59
Torino,Piemonte,Caffè Piazzi,3343891263,Via Evangelista Torricelli 28
Torino,Piemonte,Caffè Prati,2284343484,Via Giovanni Prati 151
